"Article","Number of tweets","Number of tweets(in thousands)","Date"
"lack","1937","2","04/22/2020"
"threat","1936","2","04/22/2020"
"indian","1933","2","04/22/2020"
"opportunity","1931","2","04/22/2020"
"asked","1927","2","04/22/2020"
"amazing","1926","2","04/22/2020"
"facts","1925","2","04/22/2020"
"coronavirus","328761","329","04/24/2020"
"covid","193133","194","04/24/2020"
"19","184007","185","04/24/2020"
"covid19","180292","181","04/24/2020"
"nan","82156","83","04/24/2020"
"trump","75936","76","04/24/2020"
"people","47325","48","04/24/2020"
"amp","44742","45","04/24/2020"
"via","38458","39","04/24/2020"
"us","33600","34","04/24/2020"
"new","33565","34","04/24/2020"
"pandemic","32616","33","04/24/2020"
"news","26199","27","04/24/2020"
"cases","25775","26","04/24/2020"
"virus","24987","25","04/24/2020"
"disinfectant","24421","25","04/24/2020"
"like","24197","25","04/24/2020"
"realdonaldtrump","22272","23","04/24/2020"
"one","21898","22","04/24/2020"
"get","21757","22","04/24/2020"
"lockdown","19682","20","04/24/2020"
"time","19672","20","04/24/2020"
"president","19316","20","04/24/2020"
"world","19036","20","04/24/2020"
"help","18990","19","04/24/2020"
"crisis","18621","19","04/24/2020"
"health","18518","19","04/24/2020"
"would","18371","19","04/24/2020"
"000","17905","18","04/24/2020"
"deaths","17899","18","04/24/2020"
"could","17674","18","04/24/2020"
"know","17464","18","04/24/2020"
"china","17202","18","04/24/2020"
"need","16636","17","04/24/2020"
"please","16588","17","04/24/2020"
"si","16311","17","04/24/2020"
"di","16035","17","04/24/2020"
"et","15710","16","04/24/2020"
"2020","15616","16","04/24/2020"
"covid_19","15225","16","04/24/2020"
"il","14916","15","04/24/2020"
"home","14755","15","04/24/2020"
"see","14618","15","04/24/2020"
"24","14446","15","04/24/2020"
"may","14414","15","04/24/2020"
"des","14062","15","04/24/2020"
"death","13556","14","04/24/2020"
"patients","13554","14","04/24/2020"
"good","13510","14","04/24/2020"
"said","13418","14","04/24/2020"
"du","13120","14","04/24/2020"
"says","12754","13","04/24/2020"
"today","12666","13","04/24/2020"
"go","12658","13","04/24/2020"
"cure","12631","13","04/24/2020"
"work","12582","13","04/24/2020"
"even","12292","13","04/24/2020"
"take","12259","13","04/24/2020"
"bleach","12076","13","04/24/2020"
"day","11908","12","04/24/2020"
"injecting","11896","12","04/24/2020"
"think","11851","12","04/24/2020"
"corona","11777","12","04/24/2020"
"first","11692","12","04/24/2020"
"state","11682","12","04/24/2020"
"government","11675","12","04/24/2020"
"say","11565","12","04/24/2020"
"many","11509","12","04/24/2020"
"make","11476","12","04/24/2020"
"est","11406","12","04/24/2020"
"going","11355","12","04/24/2020"
"casos","11241","12","04/24/2020"
"test","11215","12","04/24/2020"
"die","11194","12","04/24/2020"
"due","11083","12","04/24/2020"
"per","10871","11","04/24/2020"
"back","10788","11","04/24/2020"
"the","10724","11","04/24/2020"
"still","10702","11","04/24/2020"
"right","10515","11","04/24/2020"
"support","10513","11","04/24/2020"
"live","10509","11","04/24/2020"
"dr","10441","11","04/24/2020"
"da","10426","11","04/24/2020"
"pour","10295","11","04/24/2020"
"well","10250","11","04/24/2020"
"let","10227","11","04/24/2020"
"fight","10146","11","04/24/2020"
"testing","10077","11","04/24/2020"
"also","10040","11","04/24/2020"
"country","9978","10","04/24/2020"
"really","9967","10","04/24/2020"
"kill","9908","10","04/24/2020"
"read","9889","10","04/24/2020"
"re","9772","10","04/24/2020"
"50","9712","10","04/24/2020"
"total","9697","10","04/24/2020"
"way","9692","10","04/24/2020"
"stay","9680","10","04/24/2020"
"treatment","9542","10","04/24/2020"
"na","9504","10","04/24/2020"
"care","9304","10","04/24/2020"
"light","9241","10","04/24/2020"
"vaccine","9222","10","04/24/2020"
"man","9086","10","04/24/2020"
"lysol","9041","10","04/24/2020"
"workers","8992","9","04/24/2020"
"stop","8969","9","04/24/2020"
"social","8932","9","04/24/2020"
"april","8888","9","04/24/2020"
"uk","8881","9","04/24/2020"
"response","8876","9","04/24/2020"
"want","8853","9","04/24/2020"
"medical","8732","9","04/24/2020"
"pandemia","8716","9","04/24/2020"
"india","8684","9","04/24/2020"
"inject","8674","9","04/24/2020"
"great","8632","9","04/24/2020"
"10","8417","9","04/24/2020"
"positive","8346","9","04/24/2020"
"latest","8211","9","04/24/2020"
"spread","8193","9","04/24/2020"
"use","8172","9","04/24/2020"
"daily","8076","9","04/24/2020"
"look","8036","9","04/24/2020"
"media","8026","9","04/24/2020"
"much","7942","8","04/24/2020"
"times","7917","8","04/24/2020"
"states","7854","8","04/24/2020"
"thank","7830","8","04/24/2020"
"public","7813","8","04/24/2020"
"business","7776","8","04/24/2020"
"hospital","7747","8","04/24/2020"
"disinfectants","7682","8","04/24/2020"
"outbreak","7625","8","04/24/2020"
"pas","7597","8","04/24/2020"
"come","7542","8","04/24/2020"
"week","7536","8","04/24/2020"
"life","7528","8","04/24/2020"
"video","7519","8","04/24/2020"
"must","7425","8","04/24/2020"
"every","7389","8","04/24/2020"
"donald","7320","8","04/24/2020"
"americans","7318","8","04/24/2020"
"america","7295","8","04/24/2020"
"last","7212","8","04/24/2020"
"got","7178","8","04/24/2020"
"days","7163","8","04/24/2020"
"keep","7153","8","04/24/2020"
"true","7138","8","04/24/2020"
"tests","7123","8","04/24/2020"
"youtube","7064","8","04/24/2020"
"real","6958","7","04/24/2020"
"non","6917","7","04/24/2020"
"global","6898","7","04/24/2020"
"free","6865","7","04/24/2020"
"data","6812","7","04/24/2020"
"face","6803","7","04/24/2020"
"post","6786","7","04/24/2020"
"thanks","6746","7","04/24/2020"
"body","6717","7","04/24/2020"
"au","6708","7","04/24/2020"
"une","6705","7","04/24/2020"
"update","6684","7","04/24/2020"
"never","6661","7","04/24/2020"
"year","6659","7","04/24/2020"
"usa","6630","7","04/24/2020"
"doctors","6630","7","04/24/2020"
"vía","6581","7","04/24/2020"
"economy","6477","7","04/24/2020"
"everyone","6460","7","04/24/2020"
"to","6427","7","04/24/2020"
"20","6418","7","04/24/2020"
"watch","6334","7","04/24/2020"
"safe","6320","7","04/24/2020"
"died","6313","7","04/24/2020"
"working","6309","7","04/24/2020"
"next","6301","7","04/24/2020"
"check","6235","7","04/24/2020"
"another","6208","7","04/24/2020"
"god","6199","7","04/24/2020"
"experts","6196","7","04/24/2020"
"lives","6190","7","04/24/2020"
"house","6164","7","04/24/2020"
"sur","6152","7","04/24/2020"
"give","6145","7","04/24/2020"
"relief","6122","7","04/24/2020"
"amid","6111","7","04/24/2020"
"money","6095","7","04/24/2020"
"uv","6090","7","04/24/2020"
"ca","6063","7","04/24/2020"
"believe","6059","7","04/24/2020"
"dangerous","6046","7","04/24/2020"
"hope","6005","7","04/24/2020"
"number","5985","6","04/24/2020"
"made","5948","6","04/24/2020"
"ramadan","5947","6","04/24/2020"
"end","5944","6","04/24/2020"
"gt","5910","6","04/24/2020"
"around","5898","6","04/24/2020"
"twitter","5896","6","04/24/2020"
"better","5895","6","04/24/2020"
"love","5828","6","04/24/2020"
"plan","5790","6","04/24/2020"
"idea","5786","6","04/24/2020"
"suggests","5773","6","04/24/2020"
"dans","5751","6","04/24/2020"
"using","5741","6","04/24/2020"
"long","5700","6","04/24/2020"
"mais","5681","6","04/24/2020"
"case","5631","6","04/24/2020"
"million","5603","6","04/24/2020"
"com","5587","6","04/24/2020"
"gobierno","5584","6","04/24/2020"
"stayhome","5583","6","04/24/2020"
"york","5554","6","04/24/2020"
"month","5543","6","04/24/2020"
"best","5529","6","04/24/2020"
"thing","5521","6","04/24/2020"
"food","5521","6","04/24/2020"
"stupid","5505","6","04/24/2020"
"family","5493","6","04/24/2020"
"in","5469","6","04/24/2020"
"online","5453","6","04/24/2020"
"getting","5445","6","04/24/2020"
"two","5403","6","04/24/2020"
"open","5391","6","04/24/2020"
"might","5391","6","04/24/2020"
"since","5389","6","04/24/2020"
"qui","5387","6","04/24/2020"
"needs","5377","6","04/24/2020"
"article","5365","6","04/24/2020"
"app","5359","6","04/24/2020"
"human","5354","6","04/24/2020"
"em","5340","6","04/24/2020"
"salud","5332","6","04/24/2020"
"something","5327","6","04/24/2020"
"cnn","5309","6","04/24/2020"
"show","5304","6","04/24/2020"
"ever","5290","6","04/24/2020"
"ser","5212","6","04/24/2020"
"30","5194","6","04/24/2020"
"confirmed","5190","6","04/24/2020"
"ve","5178","6","04/24/2020"
"dan","5173","6","04/24/2020"
"risk","5167","6","04/24/2020"
"quarantine","5162","6","04/24/2020"
"eu","5135","6","04/24/2020"
"toll","5121","6","04/24/2020"
"group","5119","6","04/24/2020"
"impact","5087","6","04/24/2020"
"personas","5062","6","04/24/2020"
"already","5061","6","04/24/2020"
"things","5060","6","04/24/2020"
"país","5051","6","04/24/2020"
"call","5028","6","04/24/2020"
"100","5019","6","04/24/2020"
"updates","5003","6","04/24/2020"
"actually","5002","6","04/24/2020"
"ce","5001","6","04/24/2020"
"study","4999","5","04/24/2020"
"society","4980","5","04/24/2020"
"sure","4957","5","04/24/2020"
"report","4949","5","04/24/2020"
"put","4943","5","04/24/2020"
"yet","4939","5","04/24/2020"
"anyone","4936","5","04/24/2020"
"find","4928","5","04/24/2020"
"part","4904","5","04/24/2020"
"someone","4902","5","04/24/2020"
"tested","4897","5","04/24/2020"
"done","4885","5","04/24/2020"
"businesses","4881","5","04/24/2020"
"story","4873","5","04/24/2020"
"plus","4864","5","04/24/2020"
"hoy","4834","5","04/24/2020"
"12","4829","5","04/24/2020"
"va","4811","5","04/24/2020"
"community","4795","5","04/24/2020"
"big","4769","5","04/24/2020"
"tell","4765","5","04/24/2020"
"mundo","4723","5","04/24/2020"
"try","4723","5","04/24/2020"
"potus","4717","5","04/24/2020"
"job","4701","5","04/24/2020"
"team","4698","5","04/24/2020"
"person","4695","5","04/24/2020"
"information","4686","5","04/24/2020"
"casa","4675","5","04/24/2020"
"without","4674","5","04/24/2020"
"gente","4668","5","04/24/2020"
"treat","4657","5","04/24/2020"
"ne","4636","5","04/24/2020"
"doctor","4625","5","04/24/2020"
"fake","4620","5","04/24/2020"
"and","4608","5","04/24/2020"
"making","4606","5","04/24/2020"
"briefing","4600","5","04/24/2020"
"não","4580","5","04/24/2020"
"23","4571","5","04/24/2020"
"enough","4560","5","04/24/2020"
"oh","4541","5","04/24/2020"
"american","4535","5","04/24/2020"
"this","4524","5","04/24/2020"
"bill","4523","5","04/24/2020"
"of","4504","5","04/24/2020"
"white","4498","5","04/24/2020"
"trying","4494","5","04/24/2020"
"science","4486","5","04/24/2020"
"years","4484","5","04/24/2020"
"away","4478","5","04/24/2020"
"disease","4438","5","04/24/2020"
"countries","4428","5","04/24/2020"
"che","4426","5","04/24/2020"
"top","4424","5","04/24/2020"
"important","4410","5","04/24/2020"
"par","4381","5","04/24/2020"
"weeks","4379","5","04/24/2020"
"11","4372","5","04/24/2020"
"bbc","4365","5","04/24/2020"
"je","4359","5","04/24/2020"
"protect","4351","5","04/24/2020"
"far","4340","5","04/24/2020"
"friday","4338","5","04/24/2020"
"saying","4337","5","04/24/2020"
"yes","4336","5","04/24/2020"
"maybe","4309","5","04/24/2020"
"future","4282","5","04/24/2020"
"govt","4259","5","04/24/2020"
"save","4256","5","04/24/2020"
"dead","4254","5","04/24/2020"
"15","4251","5","04/24/2020"
"masks","4233","5","04/24/2020"
"old","4227","5","04/24/2020"
"sa","4226","5","04/24/2020"
"change","4224","5","04/24/2020"
"día","4195","5","04/24/2020"
"leader","4174","5","04/24/2020"
"small","4158","5","04/24/2020"
"follow","4127","5","04/24/2020"
"high","4123","5","04/24/2020"
"cuarentena","4123","5","04/24/2020"
"research","4118","5","04/24/2020"
"presidente","4110","5","04/24/2020"
"rate","4092","5","04/24/2020"
"start","4090","5","04/24/2020"
"used","4086","5","04/24/2020"
"point","4077","5","04/24/2020"
"france","4062","5","04/24/2020"
"thought","4033","5","04/24/2020"
"press","4031","5","04/24/2020"
"it","4023","5","04/24/2020"
"advice","4020","5","04/24/2020"
"together","4003","5","04/24/2020"
"van","3990","4","04/24/2020"
"county","3982","4","04/24/2020"
"flu","3979","4","04/24/2020"
"de","3975","4","04/24/2020"
"shit","3969","4","04/24/2020"
"bad","3966","4","04/24/2020"
"der","3963","4","04/24/2020"
"hospitals","3940","4","04/24/2020"
"nuevos","3926","4","04/24/2020"
"hit","3922","4","04/24/2020"
"staff","3921","4","04/24/2020"
"taking","3911","4","04/24/2020"
"así","3891","4","04/24/2020"
"possible","3888","4","04/24/2020"
"04","3873","4","04/24/2020"
"distancing","3871","4","04/24/2020"
"covidー19","3863","4","04/24/2020"
"pay","3862","4","04/24/2020"
"join","3850","4","04/24/2020"
"reported","3846","4","04/24/2020"
"drink","3842","4","04/24/2020"
"city","3827","4","04/24/2020"
"hard","3819","4","04/24/2020"
"infected","3805","4","04/24/2020"
"order","3795","4","04/24/2020"
"solo","3793","4","04/24/2020"
"fucking","3789","4","04/24/2020"
"numbers","3788","4","04/24/2020"
"25","3780","4","04/24/2020"
"sunlight","3778","4","04/24/2020"
"rt","3768","4","04/24/2020"
"bien","3743","4","04/24/2020"
"economic","3740","4","04/24/2020"
"pm","3739","4","04/24/2020"
"always","3735","4","04/24/2020"
"local","3735","4","04/24/2020"
"control","3709","4","04/24/2020"
"national","3689","4","04/24/2020"
"wrong","3678","4","04/24/2020"
"leaders","3650","4","04/24/2020"
"healthcare","3646","4","04/24/2020"
"share","3646","4","04/24/2020"
"nothing","3640","4","04/24/2020"
"place","3634","4","04/24/2020"
"emergency","3631","4","04/24/2020"
"ll","3625","4","04/24/2020"
"mask","3621","4","04/24/2020"
"anything","3618","4","04/24/2020"
"listen","3613","4","04/24/2020"
"ahora","3611","4","04/24/2020"
"href","3599","4","04/24/2020"
"rel","3599","4","04/24/2020"
"across","3597","4","04/24/2020"
"vous","3594","4","04/24/2020"
"situation","3592","4","04/24/2020"
"dos","3586","4","04/24/2020"
"nofollow","3585","4","04/24/2020"
"comments","3585","4","04/24/2020"
"कर","3585","4","04/24/2020"
"um","3568","4","04/24/2020"
"fact","3568","4","04/24/2020"
"coming","3560","4","04/24/2020"
"full","3559","4","04/24/2020"
"sick","3541","4","04/24/2020"
"hear","3525","4","04/24/2020"
"questions","3525","4","04/24/2020"
"chinese","3520","4","04/24/2020"
"feel","3488","4","04/24/2020"
"others","3476","4","04/24/2020"
"das","3467","4","04/24/2020"
"wuhan","3463","4","04/24/2020"
"told","3461","4","04/24/2020"
"you","3446","4","04/24/2020"
"united","3441","4","04/24/2020"
"cause","3438","4","04/24/2020"
"inside","3428","4","04/24/2020"
"fuck","3420","4","04/24/2020"
"system","3411","4","04/24/2020"
"und","3405","4","04/24/2020"
"qu","3394","4","04/24/2020"
"children","3386","4","04/24/2020"
"looking","3359","4","04/24/2020"
"muertes","3355","4","04/24/2020"
"air","3352","4","04/24/2020"
"lost","3351","4","04/24/2020"
"officials","3350","4","04/24/2020"
"idiot","3350","4","04/24/2020"
"contact","3343","4","04/24/2020"
"medidas","3338","4","04/24/2020"
"lot","3333","4","04/24/2020"
"no","3312","4","04/24/2020"
"soon","3311","4","04/24/2020"
"españa","3303","4","04/24/2020"
"dying","3301","4","04/24/2020"
"continue","3298","4","04/24/2020"
"drug","3291","4","04/24/2020"
"info","3287","4","04/24/2020"
"reports","3274","4","04/24/2020"
"puede","3268","4","04/24/2020"
"symptoms","3266","4","04/24/2020"
"less","3266","4","04/24/2020"
"link","3260","4","04/24/2020"
"nhs","3254","4","04/24/2020"
"clorox","3239","4","04/24/2020"
"lockdownextension","3220","4","04/24/2020"
"everything","3183","4","04/24/2020"
"least","3182","4","04/24/2020"
"billion","3181","4","04/24/2020"
"learn","3177","4","04/24/2020"
"birx","3175","4","04/24/2020"
"mas","3172","4","04/24/2020"
"recovery","3169","4","04/24/2020"
"gop","3165","4","04/24/2020"
"muertos","3148","4","04/24/2020"
"revealed","3140","4","04/24/2020"
"cómo","3139","4","04/24/2020"
"ai","3134","4","04/24/2020"
"towards","3134","4","04/24/2020"
"aid","3132","4","04/24/2020"
"force","3120","4","04/24/2020"
"guy","3120","4","04/24/2020"
"ppe","3111","4","04/24/2020"
"suggested","3111","4","04/24/2020"
"mean","3107","4","04/24/2020"
"months","3106","4","04/24/2020"
"avec","3104","4","04/24/2020"
"lungs","3100","4","04/24/2020"
"service","3100","4","04/24/2020"
"breaking","3098","4","04/24/2020"
"self","3093","4","04/24/2020"
"question","3089","4","04/24/2020"
"nous","3085","4","04/24/2020"
"trial","3083","4","04/24/2020"
"sign","3069","4","04/24/2020"
"is","3067","4","04/24/2020"
"nigeria","3060","4","04/24/2020"
"restrictions","3059","4","04/24/2020"
"la","3049","4","04/24/2020"
"cuomo","3048","4","04/24/2020"
"gov","3047","4","04/24/2020"
"including","3043","4","04/24/2020"
"mil","3042","4","04/24/2020"
"we","3040","4","04/24/2020"
"tv","3021","4","04/24/2020"
"ago","3019","4","04/24/2020"
"claims","3016","4","04/24/2020"
"federal","3015","4","04/24/2020"
"pacientes","3011","4","04/24/2020"
"makes","3011","4","04/24/2020"
"el","2998","3","04/24/2020"
"hydroxychloroquine","2992","3","04/24/2020"
"hacer","2991","3","04/24/2020"
"14","2987","3","04/24/2020"
"essential","2979","3","04/24/2020"
"web","2975","3","04/24/2020"
"quedateencasa","2975","3","04/24/2020"
"talking","2972","3","04/24/2020"
"population","2966","3","04/24/2020"
"hi","2961","3","04/24/2020"
"become","2953","3","04/24/2020"
"coronaviruspandemic","2950","3","04/24/2020"
"police","2943","3","04/24/2020"
"yesterday","2940","3","04/24/2020"
"18","2939","3","04/24/2020"
"recovered","2934","3","04/24/2020"
"22","2934","3","04/24/2020"
"scientists","2933","3","04/24/2020"
"little","2931","3","04/24/2020"
"méxico","2927","3","04/24/2020"
"measures","2925","3","04/24/2020"
"called","2924","3","04/24/2020"
"shows","2920","3","04/24/2020"
"ou","2918","3","04/24/2020"
"school","2909","3","04/24/2020"
"on","2904","3","04/24/2020"
"millions","2902","3","04/24/2020"
"cashless","2898","3","04/24/2020"
"patient","2897","3","04/24/2020"
"ask","2896","3","04/24/2020"
"fund","2882","3","04/24/2020"
"left","2881","3","04/24/2020"
"abril","2874","3","04/24/2020"
"injection","2864","3","04/24/2020"
"wait","2859","3","04/24/2020"
"homes","2858","3","04/24/2020"
"related","2856","3","04/24/2020"
"south","2839","3","04/24/2020"
"heart","2837","3","04/24/2020"
"truth","2837","3","04/24/2020"
"africa","2833","3","04/24/2020"
"available","2828","3","04/24/2020"
"contre","2826","3","04/24/2020"
"services","2825","3","04/24/2020"
"safety","2823","3","04/24/2020"
"wants","2812","3","04/24/2020"
"confinement","2809","3","04/24/2020"
"hours","2808","3","04/24/2020"
"understand","2807","3","04/24/2020"
"governor","2805","3","04/24/2020"
"en","2799","3","04/24/2020"
"ver","2791","3","04/24/2020"
